Level,Expression,Type,Value,Min,Max,Average,# Changes,Min. Change,Max. Change
0,"            watch_data_speed[0]","double",0.0332133551685488,-5.29420881386668,42.566235984012152,0.4414896208528792,"10 347",-4.5303016449900575,2.962631281034554
0,"            watch_data_speed[1]","double",0,-5.3274221690352288,35.525004688279807,0.360787685414741,"9 488",-3.3080501747874606,4.616656368428285
0,"support","double",-0.2963469417564408,-7308.3926511356658,1.4837582393772168e+86,2.5832794877469554e+81,"55 994",-1.4837582393772168e+86,1.4837582393772168e+86
0,"watch_data_u[0]","double",1,0,1,0.9369047826314048,1,-1.3321529885158865e-214,1
0,"watch_data_u[1]","double",0,0,5.3719165922718526e-307,"inf",0,-5.3719165922718526e-307,0
0,"watch_data_u[2]","double",-0.0677314922146997,-5,5,0.0914088569197522,"29 066",-4.7248307348014738,5.043841628822485
0,"watch_data_u[3]","double",0.0677314922146997,-20.932210221596882,9.3672683431689094,-0.1032079717485871,"29 218",-6.1005995231536829,4.7248307348014738
0,"watch_data_xd[4]","double",0,0,0,0,0,0,0
0,"watch_data_xd[6]","double",0,0,0,0,0,0,0
0,"watch_data_xstates[4]","double",0.0312015684120743,-0.4343162348337264,0.2128452644268668,0.0221422983262116,"29 154",-0.200660998834157,0.2103896499607374
0,"watch_data_xstates[6]","double",0.044645929386514,-0.4096332461996293,0.2248264508242954,0.02796770127758,"29 137",-0.2089075461409387,0.2121465324302074
0,"watch_fall","bool",0,0,1,0.0338631906,7,"1111 1111",1
0,"watch_Fn[0]","double",-0.2384331953036548,-1.4837582393772168e+86,1.4837582393772168e+86,0.1274516305973243,"56 008",-2.9675164787544336e+86,1.4837582393772168e+86
0,"watch_Fn[1]","double",-0.2384331953036548,-1.4837582393772168e+86,1.4837582393772168e+86,0.1269753143537952,"56 477",-2.9675164787544336e+86,1.4837582393772168e+86
0,"watch_leglenth[0]","double",0.1129173645685701,0,0.3557317543966132,0.1572066695740629,"40 006",-0.1121544402866243,0.0505750796294105
